url,label
"http://example-phish.com/login",1
"https://secure-example.com/account",0
"http://bank-login-secure.com/verify",1
"https://trustedbank.com/login",0
"http://secure-your-account.com/update",1
"https://officialsite.org/home",0
"http://fake-paypal.com/login",1
"https://legit-store.com/shop",0
"http://urgent-verification.com/update",1
"https://safe-browsing.net",0
"http://prize-winner-now.com",1
"https://myuniversity.edu/student",0
"http://confirm-your-account.info/secure",1
"https://ecommerce-store.com/products",0
"http://free-giftcard.com",1
"https://gov-portal.gov/login",0
"http://paypal-alert.com/secure",1
"https://trusted-service.org",0
"http://account-lock.com/recover",1
"https://example-nonprofit.org/donate",0
"http://sign-in.com/userauth",1
"https://community-portal.org/profile",0
"http://check-bank-info.com/login",1
"https://reliable-shop.com/items",0
"http://update-your-info.com/confirm",1
"https://eduportal.edu/portal",0
"http://verify-now.net/secure",1
"https://legitbusiness.com/contact",0
"http://urgent-billing.com/pay",1
"https://support-center.org/help",0
"http://authentic-account.com/login",1
"https://communityhub.net/signup",0
"http://restore-account-now.com",1
"https://banking-secure.com/dashboard",0
"http://free-reward.info/gift",1
"https://myschool.edu/register",0
"http://secure-verify.com/auth",1
"https://shop-center.com/cart",0
"http://account-confirmation.net",1
"https://library-site.org/books",0
"http://identity-check.com/login",1
"https://government-portal.gov/account",0
"http://urgent-account-info.com/secure",1
"https://shoppingwebsite.com/catalog",0
"http://security-alert-now.com/update",1
"https://legitimate-service.com/home",0
"http://log-in-now.com/auth",1
"https://onlineshop.org/sale",0
"http://identity-verify-now.com/confirm",1
"https://hospital-portal.org/patient",0
"http://secure-login-now.com/update",1
"https://community-group.org/join",0
"http://win-big-now.com",1
"https://business-platform.com/about",0
"http://login-authentication.com/verify",1
"https://online-retailer.org/browse",0
"http://account-protection-now.com",1
"https://reliable-source.com/news",0
"http://emergency-alert.net/confirm",1
"https://charityfoundation.org/volunteer",0
"http://check-your-account-now.com",1
"https://researchcenter.edu/study",0
"http://urgent-billing-info.com/update",1
"https://academic-resource.org/learn",0
"http://login-to-account.com",1
"https://health-services.gov/hospital",0
"http://validate-your-info.com/verify",1
"https://nonprofitorganization.org/donate",0
"http://account-locked.com/unlock",1
"https://shop-world.com/home",0
"http://credit-alert-now.com",1
"https://freelance-network.org/find",0
"http://emergency-access.com/login",1
"https://financialservices.com/insurance",0
"http://secure-auth.info",1
"https://legalassistance.org/contact",0
"http://recover-password-now.com",1
"https://safedownloads.com/files",0
"http://confirm-bank-info.com",1
"https://trusted-platform.org/signup",0
"http://restricted-access.com/confirm",1
"https://charityportal.org/help",0
"http://win-reward.com",1
"https://educationalhub.edu/info",0
"http://urgent-bank-update.com",1
"https://communityconnect.org/events",0
"http://login-confirmation.net",1
"https://secure-trading.com/orders",0
"http://account-validation.net",1
"https://online-marketplace.org/shop",0
"http://check-your-account-info.com",1
"https://health-clinic.gov/services",0
"http://free-promo-now.com",1
"https://research-institute.edu/faculty",0
"http://quick-login.com/auth",1
"https://ecommerce-hub.com/checkout",0
"http://giftcard-reward.com",1
"https://professionalnetwork.org/join",0
"http://login-secure.net",1
"https://community-website.org/portal",0
"http://validate-your-identity.com",1
"https://wellness-center.org/care",0
"http://payment-alert.com/secure",1
"https://service-directory.com/info",0
"http://urgent-notification.com/login",1
"https://bookstore.com/catalog",0
"http://password-reset-now.com",1
"https://local-library.org/access",0
"http://urgent-account-verification.com",1
"https://official-agency.gov/services",0
"http://win-free-prize.com",1
"https://educationalplatform.edu/courses",0
"http://confirm-your-login.com",1
"https://wellbeing-services.org/support",0
"http://verify-your-identity-now.com",1
"https://online-store.org/specials",0
"http://account-review.com",1
"https://newsportal.com/articles",0
"http://auth-secure.com/login",1
"https://gov-website.gov/official",0
"http://emergency-billing.com/update",1
"https://hospital-services.com/health",0
"http://account-confirm.com/secure",1
"https://charitableorg.org/support",0
"http://identity-check-now.com",1
"https://shopzone.com/categories",0
"http://validate-info.com/auth",1
"https://learnonline.edu/courses",0
"http://login-securely.com",1
"https://communityforum.org/discussions",0
"http://alert-your-account.com",1
"https://professionalhub.com/members",0
"http://update-payment.com",1
"https://safe-payment.com/checkout",0
"http://verify-now.com/auth",1
"https://gov-portal.org/login",0
"http://login-here.com/secure",1
"https://service-platform.org/support",0
"http://check-credentials.com/confirm",1
"https://reputable-service.com/home",0
"http://validate-login.net",1
"https://business-platform.net/login",0
"http://emergency-login.com/verify",1
"https://trusted-university.edu/alumni",0
"http://confirm-email-now.com",1
"https://community-education.org/signin",0
"http://check-identity.com/login",1
"https://shoppinghub.com/browse",0
"http://prize-winning-now.com",1
"https://official-business.org/info",0
"http://identity-protect-now.com",1
"https://trusted-company.com/verify",0
"http://quick-update.com/auth",1
"https://resourcesite.org/access",0
"http://confirm-secure-info.com",1
"https://servicewebsite.org/signin",0
"http://urgent-recovery.com",1
"https://legit-organization.org/connect",0
"http://security-check.net/verify",1
"https://charitable-org.org/donate",0
"http://confirm-identity-now.com",1
"https://financial-services.org/support",0
"http://payment-authentication.com",1
"https://university-portal.edu/apply",0
"https://amazon-customers-support.com/update",1
"https://g00gle-secure-login.com",1
"https://amazon-customers-support.com/update",1
"https://192.168.1.1/login",1
